copula,n,estimator,ise_mean,ise_sd,bias_q0.01,bias_q0.05,bias_q0.50,bias_q0.95,bias_q0.99,var_q0.01,var_q0.05,var_q0.50,var_q0.95,var_q0.99
t,2500,canonical,0.0477956086209938,0.00848093711491524,-0.031485589394911584,0.0015730712837686278,-0.03127657298550458,-0.015550632785691708,-0.04243777956720958,0.0018911630154191759,0.0006264337240192437,0.00037410171704784184,0.00046142285497240284,0.003327393526427621
t,2500,nts_oracle,0.04753792186929633,0.00927225649045296,-0.029202728470769167,0.002285715950900227,-0.03137060344643375,-0.014509658206815202,-0.037264723956836075,0.0024644875570328482,0.0006168293965693155,0.0003553068574316177,0.00042301228168742746,0.0028155676829017136
t,2500,nts_fitted,0.04793899772337149,0.00926150641298583,-0.04152624980083889,0.0013897950679545735,-0.031518568463112455,-0.015164023802194955,-0.037363882315201435,0.005111990520619977,0.0006002552032147174,0.0003650160687956097,0.0004912038073295545,0.003218443866275793
t,5000,canonical,0.04099674300531391,0.008243919325407956,-0.025768028519057618,0.0029712865267450227,-0.025011236489595006,-0.010598115380209692,-0.027525390535304596,0.0009632541814356272,0.0004946033953954944,0.0001805476635111615,0.0003972768301650657,0.0005556121335678716
t,5000,nts_oracle,0.04226102394988953,0.00928509036073092,-0.026577707015322777,0.0030557135830270045,-0.0249912547735988,-0.007818486696100411,-0.0250825232299255,0.0010867159468043433,0.000552780424363117,0.00014372763240065974,0.0005984714910461284,0.0007953510679184198
t,5000,nts_fitted,0.041583069071803515,0.008728926745608996,-0.028282990749100668,0.002268147386038315,-0.024798203910281265,-0.010173819517799337,-0.026385072120009463,0.0009078211304617576,0.0005589397433518983,0.00015658011085787946,0.00047455754637085694,0.0006740481771917908
gumbel,500,canonical,0.05507296999667138,0.008761326534529485,-0.12731732206414484,-0.027689372722740396,-0.03564509819250717,-0.030397686040670245,-0.018016273539767994,0.0840539083896384,0.010664513884035207,0.001255867036906297,0.0005659494219111369,0.0010188255481729735
gumbel,500,nts_oracle,0.05476910241019684,0.008774958106260191,-0.11930966882601181,-0.022261439178026966,-0.036798376388547466,-0.03343818197412736,-0.01280095732184197,0.11389458537533247,0.009959886104125164,0.001249994765825413,0.0005406611026824788,0.0009974816993070454
gumbel,500,nts_fitted,0.05505065601520382,0.008807312608004925,-0.10852776294309173,-0.025939546314063353,-0.03629034639013769,-0.032521974772010916,-0.011489824716300927,0.10089974525644844,0.011117173123763086,0.0012361734334418323,0.0006155487913170941,0.0011063610111744547
gumbel,1000,canonical,0.048123046557406256,0.006665006816614606,-0.045154346024338425,-0.006558997254320798,-0.039793235052443116,-0.03037866799653376,-0.015191447381952905,0.07712994469215534,0.005149910431989662,0.0009726602043723894,0.0010635503235390867,0.0013184186958426361
gumbel,1000,nts_oracle,0.04798429514050267,0.007045882456924468,-0.07208776064919667,-0.012556307876951294,-0.0402037000116029,-0.025246384922800555,-0.009956784055684233,0.10701281691720443,0.006514150516648194,0.0009069025578981765,0.0008776114895695486,0.0006259078907190549
gumbel,1000,nts_fitted,0.048247672610557825,0.00687057432023087,-0.05893955069606088,-0.01577787027345264,-0.04006390700280145,-0.02743105343502826,-0.039204747541092294,0.09182509326383144,0.006607049962013903,0.000967033122486736,0.0010843906540636931,0.03662165156218486
gumbel,2500,canonical,0.04130993136841397,0.00709071470148964,-0.04142678982512811,-0.030411120512480627,-0.01791612242593394,-0.018151046007811648,-0.010715182422835777,0.029349711312169957,0.003046157446184204,0.0003920268896321143,0.00033756939550944395,0.0013018864581104946
gumbel,2500,nts_oracle,0.041977656126709506,0.007528177499832544,-0.047768170744476174,-0.026819955441120973,-0.018020040332523246,-0.01480051926914904,-0.0024337311987185383,0.0339617481955192,0.0027513463005237548,0.00033521902569455503,0.00031911597819082394,0.0008470351054549023
gumbel,2500,nts_fitted,0.04157594239968306,0.007472792579169925,-0.053832829138458035,-0.0325723728032676,-0.01751760719283732,-0.018189840484965455,-0.030815858383838518,0.037639728479433,0.0030073001896240028,0.0003673984681493887,0.0003468501037714774,0.03647033806111937
